
Name : adadad giao dịch với THÁI ĐẸP TRAI || Time : 2022-11-06 00:06:01 || Item chuyển : [907 Số lượng : 114;641 Số lượng : 287;639 Số lượng : 267;770 Số lượng : 487;987 Số lượng : 277;638 Số lượng : 263;642 Số lượng : 245;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : THÁI ĐẸP TRAI giao dịch với adadad || Time : 2022-11-06 00:06:01 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[907 Số lượng : 114;641 Số lượng : 287;639 Số lượng : 267;770 Số lượng : 487;987 Số lượng : 277;638 Số lượng : 263;642 Số lượng : 245;] Xu nhận :0

Name : gjgjgj giao dịch với THÁI ĐẸP TRAI || Time : 2022-11-06 00:06:59 || Item chuyển : [639 Số lượng : 156;642 Số lượng : 138;641 Số lượng : 133;770 Số lượng : 242;638 Số lượng : 150;987 Số lượng : 125;907 Số lượng : 110;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : THÁI ĐẸP TRAI giao dịch với gjgjgj || Time : 2022-11-06 00:06:59 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[639 Số lượng : 156;642 Số lượng : 138;641 Số lượng : 133;770 Số lượng : 242;638 Số lượng : 150;987 Số lượng : 125;907 Số lượng : 110;] Xu nhận :0

Name : THÁI ĐẸP TRAI giao dịch với mpmpmqp || Time : 2022-11-06 00:07:42 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 641 Số lượng : 205;  638 Số lượng : 219;  642 Số lượng : 175;  987 Số lượng : 210;  770 Số lượng : 370;  907 Số lượng : 203;  639 Số lượng : 209; ] Xu nhận :0

Name : mpmpmqp giao dịch với THÁI ĐẸP TRAI || Time : 2022-11-06 00:07:42 || Item chuyển : [ 641 Số lượng : 205;  638 Số lượng : 219;  642 Số lượng : 175;  987 Số lượng : 210;  770 Số lượng : 370;  907 Số lượng : 203;  639 Số lượng : 209; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : THÁI ĐẸP TRAI giao dịch với twtwtw || Time : 2022-11-06 00:08:55 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 639 Số lượng : 175;  642 Số lượng : 188;  641 Số lượng : 183;  638 Số lượng : 188;  770 Số lượng : 327;  987 Số lượng : 183;  907 Số lượng : 156; ] Xu nhận :0

Name : twtwtw giao dịch với THÁI ĐẸP TRAI || Time : 2022-11-06 00:08:55 || Item chuyển : [ 639 Số lượng : 175;  642 Số lượng : 188;  641 Số lượng : 183;  638 Số lượng : 188;  770 Số lượng : 327;  987 Số lượng : 183;  907 Số lượng : 156; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : kizmad giao dịch với nikaro || Time : 2022-11-06 01:03:11 || Item chuyển : [587 Số lượng : 1;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : nikaro giao dịch với kizmad || Time : 2022-11-06 01:03:11 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[587 Số lượng : 1;] Xu nhận :0

Name : kizmad giao dịch với mikaro || Time : 2022-11-06 01:56:33 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 547 Số lượng : 1; ] Xu nhận :0

Name : mikaro giao dịch với kizmad || Time : 2022-11-06 01:56:33 || Item chuyển : [ 547 Số lượng : 1; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : spiderman giao dịch với beta001 || Time : 2022-11-06 02:25:09 || Item chuyển : [584 Số lượng : 1;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : beta001 giao dịch với spiderman || Time : 2022-11-06 02:25:09 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[584 Số lượng : 1;] Xu nhận :0

Name : spiderman giao dịch với beta002 || Time : 2022-11-06 02:26:02 || Item chuyển : [587 Số lượng : 1;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : beta002 giao dịch với spiderman || Time : 2022-11-06 02:26:02 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[587 Số lượng : 1;] Xu nhận :0

Name : spiderman giao dịch với beta003 || Time : 2022-11-06 02:27:07 || Item chuyển : [587 Số lượng : 1;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : beta003 giao dịch với spiderman || Time : 2022-11-06 02:27:07 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[587 Số lượng : 1;] Xu nhận :0

Name : beta004 giao dịch với spiderman || Time : 2022-11-06 02:28:24 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 585 Số lượng : 1; ] Xu nhận :0

Name : spiderman giao dịch với beta004 || Time : 2022-11-06 02:28:24 || Item chuyển : [ 585 Số lượng : 1; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : trumkute giao dịch với trumsvlau || Time : 2022-11-06 05:17:28 || Item chuyển : [987 Số lượng : 1387;770 Số lượng : 2750;639 Số lượng : 4310;642 Số lượng : 4259;638 Số lượng : 4387;907 Số lượng : 1310;641 Số lượng : 4350;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : trumsvlau giao dịch với trumkute || Time : 2022-11-06 05:17:28 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[987 Số lượng : 1387;770 Số lượng : 2750;639 Số lượng : 4310;642 Số lượng : 4259;638 Số lượng : 4387;907 Số lượng : 1310;641 Số lượng : 4350;] Xu nhận :0

Name : coconcac giao dịch với trumsvlau || Time : 2022-11-06 05:18:22 || Item chuyển : [987 Số lượng : 1283;907 Số lượng : 1187;770 Số lượng : 2531;638 Số lượng : 296;641 Số lượng : 309;639 Số lượng : 266;642 Số lượng : 276;] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

Name : trumsvlau giao dịch với coconcac || Time : 2022-11-06 05:18:22 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[987 Số lượng : 1283;907 Số lượng : 1187;770 Số lượng : 2531;638 Số lượng : 296;641 Số lượng : 309;639 Số lượng : 266;642 Số lượng : 276;] Xu nhận :0

Name : trumsvlau giao dịch với buoncuaanh || Time : 2022-11-06 05:19:45 || Item chuyển : [] Xu giao dịch :0 || Item Nhận :[ 987 Số lượng : 1291;  770 Số lượng : 2535;  638 Số lượng : 4029;  641 Số lượng : 4037;  907 Số lượng : 1316;  639 Số lượng : 3999;  642 Số lượng : 3993; ] Xu nhận :0

Name : buoncuaanh giao dịch với trumsvlau || Time : 2022-11-06 05:19:45 || Item chuyển : [ 987 Số lượng : 1291;  770 Số lượng : 2535;  638 Số lượng : 4029;  641 Số lượng : 4037;  907 Số lượng : 1316;  639 Số lượng : 3999;  642 Số lượng : 3993; ] Xu giao dịch :0 || Item Nhận :[] Xu nhận :0

