
 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 868 || Số lượng vật phẩm ban đầu 882 || Số lượng tách: 150 || Số lượng vật phẩm sau khi tách: 732 và 150|| Thời gian tách : 2022-06-01 05:10:15

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 4671 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 4171 và 500|| Thời gian tách : 2022-06-01 07:43:23

 Name : quanvuong đã tách vật phẩm || Vật phẩm tách: 772 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-06-01 08:08:09

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 35 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 25 và 10|| Thời gian tách : 2022-06-01 08:13:02

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 25 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 20 và 5|| Thời gian tách : 2022-06-01 08:13:09

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 20 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 10 và 10|| Thời gian tách : 2022-06-01 08:13:22

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 5 và 5|| Thời gian tách : 2022-06-01 08:13:28

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 5 và 5|| Thời gian tách : 2022-06-01 08:13:41

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 5 và 5|| Thời gian tách : 2022-06-01 08:13:47

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-06-01 08:14:02

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-06-01 08:14:07

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-06-01 08:14:11

 Name : truongdeptrai đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-01 08:14:17

