
 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 3205 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 2705 và 500|| Thời gian tách : 2022-06-02 00:24:16

 Name : 1choc1be đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 466 || Số lượng tách: 66 || Số lượng vật phẩm sau khi tách: 400 và 66|| Thời gian tách : 2022-06-02 00:26:50

 Name : paodayne đã tách vật phẩm || Vật phẩm tách: 947 || Số lượng vật phẩm ban đầu 44 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 43 và 1|| Thời gian tách : 2022-06-02 00:58:12

 Name : paodayne đã tách vật phẩm || Vật phẩm tách: 947 || Số lượng vật phẩm ban đầu 43 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 41 và 2|| Thời gian tách : 2022-06-02 00:59:32

 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 987 || Số lượng vật phẩm ban đầu 3101 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3100 và 1|| Thời gian tách : 2022-06-02 05:46:47

 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 987 || Số lượng vật phẩm ban đầu 3100 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3099 và 1|| Thời gian tách : 2022-06-02 05:46:52

 Name : loltokinh đã tách vật phẩm || Vật phẩm tách: 987 || Số lượng vật phẩm ban đầu 3100 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3099 và 1|| Thời gian tách : 2022-06-02 05:47:03

 Name : kiem7x đã tách vật phẩm || Vật phẩm tách: 588 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-02 06:06:38

 Name : yamato đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 50 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 40 và 10|| Thời gian tách : 2022-06-02 06:39:23

 Name : yamato đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 40 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 30 và 10|| Thời gian tách : 2022-06-02 06:39:26

 Name : yamato đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 30 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 20 và 10|| Thời gian tách : 2022-06-02 06:39:29

 Name : yamato đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 20 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 10 và 10|| Thời gian tách : 2022-06-02 06:39:32

 Name : yamato đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 5 và 5|| Thời gian tách : 2022-06-02 06:40:02

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 14 và 1|| Thời gian tách : 2022-06-02 06:40:03

 Name : yamato đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 5 và 5|| Thời gian tách : 2022-06-02 06:40:04

 Name : yamato đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 4 và 5|| Thời gian tách : 2022-06-02 06:40:07

