
 Name : l3tass đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 341 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 291 và 50|| Thời gian tách : 2022-05-02 00:07:32

 Name : l3tass đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 291 || Số lượng tách: 55 || Số lượng vật phẩm sau khi tách: 236 và 55|| Thời gian tách : 2022-05-02 00:07:56

 Name : myboy2k3 đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 491 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 391 và 100|| Thời gian tách : 2022-05-02 00:12:41

 Name : l3tass đã tách vật phẩm || Vật phẩm tách: 907 || Số lượng vật phẩm ban đầu 58 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 48 và 10|| Thời gian tách : 2022-05-02 00:32:32

 Name : napgan10ty đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 297 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 197 và 100|| Thời gian tách : 2022-05-02 00:38:52

 Name : tuthanvutru đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 100 || Số lượng tách: 30 || Số lượng vật phẩm sau khi tách: 70 và 30|| Thời gian tách : 2022-05-02 05:59:45

 Name : mrblack đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 480 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 460 và 20|| Thời gian tách : 2022-05-02 07:19:32

 Name : mrblack đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 460 || Số lượng tách: 60 || Số lượng vật phẩm sau khi tách: 400 và 60|| Thời gian tách : 2022-05-02 07:19:53

 Name : tuthanvutru đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 100 || Số lượng tách: 60 || Số lượng vật phẩm sau khi tách: 40 và 60|| Thời gian tách : 2022-05-02 07:20:46

 Name : kojiro đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 498 || Số lượng tách: 98 || Số lượng vật phẩm sau khi tách: 400 và 98|| Thời gian tách : 2022-05-02 07:57:18

 Name : kojiro đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 464 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 364 và 100|| Thời gian tách : 2022-05-02 08:04:03

 Name : chapcasv đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 36 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 16 và 20|| Thời gian tách : 2022-05-02 08:22:37

 Name : chapcasv đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 36 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 16 và 20|| Thời gian tách : 2022-05-02 08:30:43

 Name : tuthanvutru đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 100 || Số lượng tách: 60 || Số lượng vật phẩm sau khi tách: 40 và 60|| Thời gian tách : 2022-05-02 08:31:18

 Name : nam2k9 đã tách vật phẩm || Vật phẩm tách: 772 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-02 10:10:33

 Name : nam2k9 đã tách vật phẩm || Vật phẩm tách: 772 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-02 10:10:39

 Name : phuongdzai đã tách vật phẩm || Vật phẩm tách: 659 || Số lượng vật phẩm ban đầu 12800 || Số lượng tách: 12384 || Số lượng vật phẩm sau khi tách: 416 và 12384|| Thời gian tách : 2022-05-02 10:34:51

 Name : phuongdzai đã tách vật phẩm || Vật phẩm tách: 658 || Số lượng vật phẩm ban đầu 12816 || Số lượng tách: 12400 || Số lượng vật phẩm sau khi tách: 416 và 12400|| Thời gian tách : 2022-05-02 10:35:01

 Name : phuongdzai đã tách vật phẩm || Vật phẩm tách: 657 || Số lượng vật phẩm ban đầu 12864 || Số lượng tách: 12400 || Số lượng vật phẩm sau khi tách: 464 và 12400|| Thời gian tách : 2022-05-02 10:35:08

 Name : phuongdzai đã tách vật phẩm || Vật phẩm tách: 657 || Số lượng vật phẩm ban đầu 464 || Số lượng tách: 40 || Số lượng vật phẩm sau khi tách: 424 và 40|| Thời gian tách : 2022-05-02 10:35:22

 Name : phuongdzai đã tách vật phẩm || Vật phẩm tách: 657 || Số lượng vật phẩm ban đầu 424 || Số lượng tách: 8 || Số lượng vật phẩm sau khi tách: 416 và 8|| Thời gian tách : 2022-05-02 10:35:26

 Name : phuongdzai đã tách vật phẩm || Vật phẩm tách: 958 || Số lượng vật phẩm ban đầu 9249 || Số lượng tách: 8300 || Số lượng vật phẩm sau khi tách: 949 và 8300|| Thời gian tách : 2022-05-02 10:35:34

 Name : phuongdzai đã tách vật phẩm || Vật phẩm tách: 839 || Số lượng vật phẩm ban đầu 3376 || Số lượng tách: 2000 || Số lượng vật phẩm sau khi tách: 1376 và 2000|| Thời gian tách : 2022-05-02 10:36:06

 Name : kietdepzaii đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 265 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 165 và 100|| Thời gian tách : 2022-05-02 11:49:22

 Name : ahihihi đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-05-02 13:21:02

