
 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 3216 || Số lượng tách: 1500 || Số lượng vật phẩm sau khi tách: 1716 và 1500|| Thời gian tách : 2022-06-03 00:30:53

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 1663 || Số lượng tách: 750 || Số lượng vật phẩm sau khi tách: 913 và 750|| Thời gian tách : 2022-06-03 00:31:32

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 588 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-06-03 05:38:57

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 588 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-03 05:39:12

 Name : ferrari đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 816 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 766 và 50|| Thời gian tách : 2022-06-03 07:41:30

 Name : shinbaby đã tách vật phẩm || Vật phẩm tách: 574 || Số lượng vật phẩm ban đầu 17 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 16 và 1|| Thời gian tách : 2022-06-03 07:44:26

 Name : magaming đã tách vật phẩm || Vật phẩm tách: 588 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-03 08:16:58

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 4557 || Số lượng tách: 400 || Số lượng vật phẩm sau khi tách: 4157 và 400|| Thời gian tách : 2022-06-03 08:46:18

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 86 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 85 và 1|| Thời gian tách : 2022-06-03 08:57:56

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 85 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 84 và 1|| Thời gian tách : 2022-06-03 08:58:01

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 84 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 83 và 1|| Thời gian tách : 2022-06-03 08:58:03

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 83 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 82 và 1|| Thời gian tách : 2022-06-03 08:58:05

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 82 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 81 và 1|| Thời gian tách : 2022-06-03 09:01:02

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 81 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 80 và 1|| Thời gian tách : 2022-06-03 09:01:06

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 80 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 79 và 1|| Thời gian tách : 2022-06-03 09:01:09

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 79 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 78 và 1|| Thời gian tách : 2022-06-03 09:01:11

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 78 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 77 và 1|| Thời gian tách : 2022-06-03 09:01:13

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 77 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 76 và 1|| Thời gian tách : 2022-06-03 09:01:15

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 76 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 75 và 1|| Thời gian tách : 2022-06-03 09:01:17

 Name : magaming đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 439 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 339 và 100|| Thời gian tách : 2022-06-03 09:01:52

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 9000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 8000 và 1000|| Thời gian tách : 2022-06-03 09:02:37

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 8742 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 7742 và 1000|| Thời gian tách : 2022-06-03 09:06:09

 Name : magaming đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 97 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 96 và 1|| Thời gian tách : 2022-06-03 09:10:11

 Name : magaming đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 96 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 95 và 1|| Thời gian tách : 2022-06-03 09:10:15

 Name : magaming đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 95 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 94 và 1|| Thời gian tách : 2022-06-03 09:10:18

 Name : magaming đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 94 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 93 và 1|| Thời gian tách : 2022-06-03 09:10:32

 Name : magaming đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 93 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 92 và 1|| Thời gian tách : 2022-06-03 09:10:35

 Name : magaming đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 92 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 91 và 1|| Thời gian tách : 2022-06-03 09:10:38

 Name : magaming đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 91 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 90 và 1|| Thời gian tách : 2022-06-03 09:10:41

 Name : magaming đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 90 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 89 và 1|| Thời gian tách : 2022-06-03 09:10:44

 Name : magaming đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 89 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 88 và 1|| Thời gian tách : 2022-06-03 09:10:47

 Name : magaming đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 88 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 87 và 1|| Thời gian tách : 2022-06-03 09:10:57

