
 Name : napgan10ty đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 197 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 97 và 100|| Thời gian tách : 2022-05-03 00:04:06

 Name : main09 đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 14 và 1|| Thời gian tách : 2022-05-03 00:04:44

 Name : kiem9x7 đã tách vật phẩm || Vật phẩm tách: 868 || Số lượng vật phẩm ban đầu 340 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 140 và 200|| Thời gian tách : 2022-05-03 00:20:02

 Name : beckkk đã tách vật phẩm || Vật phẩm tách: 38 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-05-03 00:57:36

 Name : menxui đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 153 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 133 và 20|| Thời gian tách : 2022-05-03 01:22:33

 Name : ltsuki đã tách vật phẩm || Vật phẩm tách: 578 || Số lượng vật phẩm ban đầu 7700 || Số lượng tách: 700 || Số lượng vật phẩm sau khi tách: 7000 và 700|| Thời gian tách : 2022-05-03 01:25:00

 Name : ltsuki đã tách vật phẩm || Vật phẩm tách: 578 || Số lượng vật phẩm ban đầu 7000 || Số lượng tách: 2000 || Số lượng vật phẩm sau khi tách: 5000 và 2000|| Thời gian tách : 2022-05-03 01:27:14

 Name : napgan10ty đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 18 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 15 và 3|| Thời gian tách : 2022-05-03 08:03:12

 Name : napgan10ty đã tách vật phẩm || Vật phẩm tách: 958 || Số lượng vật phẩm ban đầu 277 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 77 và 200|| Thời gian tách : 2022-05-03 08:23:21

 Name : napgan10ty đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 14 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 12 và 2|| Thời gian tách : 2022-05-03 08:39:03

 Name : chapcasv đã tách vật phẩm || Vật phẩm tách: 772 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-03 09:22:28

 Name : napgan10ty đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 190 || Số lượng tách: 90 || Số lượng vật phẩm sau khi tách: 100 và 90|| Thời gian tách : 2022-05-03 11:21:59

 Name : napgan10ty đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 190 || Số lượng tách: 90 || Số lượng vật phẩm sau khi tách: 100 và 90|| Thời gian tách : 2022-05-03 11:23:27

 Name : kiem9x7 đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 484 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 384 và 100|| Thời gian tách : 2022-05-03 11:41:30

 Name : kiem9x7 đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 384 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 284 và 100|| Thời gian tách : 2022-05-03 11:42:00

