
 Name : xintop đã tách vật phẩm || Vật phẩm tách: 642 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-08-04 16:24:40

 Name : xintop đã tách vật phẩm || Vật phẩm tách: 642 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-08-04 16:24:42

 Name : xintop đã tách vật phẩm || Vật phẩm tách: 642 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-08-04 16:24:43

 Name : xintop đã tách vật phẩm || Vật phẩm tách: 642 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-08-04 16:24:44

 Name : xintop đã tách vật phẩm || Vật phẩm tách: 642 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-08-04 16:24:45

 Name : xintop đã tách vật phẩm || Vật phẩm tách: 642 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-08-04 16:24:46

 Name : xintop đã tách vật phẩm || Vật phẩm tách: 642 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-04 16:24:50

 Name : xintop đã tách vật phẩm || Vật phẩm tách: 38 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-04 16:24:52

 Name : xintop đã tách vật phẩm || Vật phẩm tách: 641 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-08-04 16:24:55

 Name : xintop đã tách vật phẩm || Vật phẩm tách: 641 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-08-04 16:25:02

 Name : xintop đã tách vật phẩm || Vật phẩm tách: 641 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-08-04 16:25:04

