
 Name : bia333 đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 740 || Số lượng tách: 140 || Số lượng vật phẩm sau khi tách: 600 và 140|| Thời gian tách : 2022-06-04 00:22:12

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 51 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 50 và 1|| Thời gian tách : 2022-06-04 07:14:19

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 50 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 49 và 1|| Thời gian tách : 2022-06-04 07:14:23

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 49 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 48 và 1|| Thời gian tách : 2022-06-04 07:14:31

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 48 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 47 và 1|| Thời gian tách : 2022-06-04 07:14:33

 Name : paodayne đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 3955 || Số lượng tách: 55 || Số lượng vật phẩm sau khi tách: 3900 và 55|| Thời gian tách : 2022-06-04 07:52:02

 Name : paodayne đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 3899 || Số lượng tách: 99 || Số lượng vật phẩm sau khi tách: 3800 và 99|| Thời gian tách : 2022-06-04 07:52:35

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 575 || Số lượng vật phẩm ban đầu 1293 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 1283 và 10|| Thời gian tách : 2022-06-04 08:02:33

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 576 || Số lượng vật phẩm ban đầu 3086 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 2986 và 100|| Thời gian tách : 2022-06-04 08:05:06

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 577 || Số lượng vật phẩm ban đầu 3228 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 3128 và 100|| Thời gian tách : 2022-06-04 08:05:10

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 573 || Số lượng vật phẩm ban đầu 1845 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1745 và 100|| Thời gian tách : 2022-06-04 08:05:19

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 574 || Số lượng vật phẩm ban đầu 1807 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1707 và 100|| Thời gian tách : 2022-06-04 08:05:23

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 578 || Số lượng vật phẩm ban đầu 3204 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 3104 và 100|| Thời gian tách : 2022-06-04 08:05:27

 Name : trumdonate đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-06-04 08:31:38

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2828 || Số lượng tách: 1320 || Số lượng vật phẩm sau khi tách: 1508 và 1320|| Thời gian tách : 2022-06-04 08:54:59

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 12539 || Số lượng tách: 5400 || Số lượng vật phẩm sau khi tách: 7139 và 5400|| Thời gian tách : 2022-06-04 09:11:55

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 7139 || Số lượng tách: 30 || Số lượng vật phẩm sau khi tách: 7109 và 30|| Thời gian tách : 2022-06-04 09:12:49

 Name : itadori đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 107 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 106 và 1|| Thời gian tách : 2022-06-04 09:19:59

 Name : itadori đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 106 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 105 và 1|| Thời gian tách : 2022-06-04 09:20:05

 Name : itadori đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 105 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 104 và 1|| Thời gian tách : 2022-06-04 09:20:10

