
 Name : kizasan đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-04 00:32:58

 Name : napgan10ty đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 66 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 46 và 20|| Thời gian tách : 2022-05-04 07:52:10

 Name : napgan10ty đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 46 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 26 và 20|| Thời gian tách : 2022-05-04 07:52:26

 Name : kimlong đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 27 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 22 và 5|| Thời gian tách : 2022-05-04 08:08:59

 Name : kimlong đã tách vật phẩm || Vật phẩm tách: 958 || Số lượng vật phẩm ban đầu 6115 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 5115 và 1000|| Thời gian tách : 2022-05-04 08:29:05

 Name : mooonnn đã tách vật phẩm || Vật phẩm tách: 959 || Số lượng vật phẩm ban đầu 423 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 323 và 100|| Thời gian tách : 2022-05-04 08:41:46

 Name : mooonnn đã tách vật phẩm || Vật phẩm tách: 959 || Số lượng vật phẩm ban đầu 323 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 223 và 100|| Thời gian tách : 2022-05-04 08:41:52

 Name : kimlong đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 470 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 370 và 100|| Thời gian tách : 2022-05-04 11:47:53

 Name : tuthanvutru đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 174 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 154 và 20|| Thời gian tách : 2022-05-04 11:48:33

 Name : vipkoae đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-04 12:11:53

 Name : zerous đã tách vật phẩm || Vật phẩm tách: 958 || Số lượng vật phẩm ban đầu 10909 || Số lượng tách: 1500 || Số lượng vật phẩm sau khi tách: 9409 và 1500|| Thời gian tách : 2022-05-04 12:38:51

 Name : zerous đã tách vật phẩm || Vật phẩm tách: 958 || Số lượng vật phẩm ban đầu 10909 || Số lượng tách: 2000 || Số lượng vật phẩm sau khi tách: 8909 và 2000|| Thời gian tách : 2022-05-04 12:39:50

 Name : nikmoilap đã tách vật phẩm || Vật phẩm tách: 959 || Số lượng vật phẩm ban đầu 153 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 53 và 100|| Thời gian tách : 2022-05-04 13:17:38

 Name : napgan10ty đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 14 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 9 và 5|| Thời gian tách : 2022-05-04 13:17:47

 Name : deckcanvip đã tách vật phẩm || Vật phẩm tách: 596 || Số lượng vật phẩm ban đầu 87 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 82 và 5|| Thời gian tách : 2022-05-04 13:22:22

 Name : bochapcaserver đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-05-04 14:10:42

 Name : yhocbotay đã tách vật phẩm || Vật phẩm tách: 954 || Số lượng vật phẩm ban đầu 7000 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 6990 và 10|| Thời gian tách : 2022-05-04 14:52:34

 Name : yhocbotay đã tách vật phẩm || Vật phẩm tách: 954 || Số lượng vật phẩm ban đầu 7000 || Số lượng tách: 300 || Số lượng vật phẩm sau khi tách: 6700 và 300|| Thời gian tách : 2022-05-04 14:54:20

