
 Name : gianghoa đã tách vật phẩm || Vật phẩm tách: 272 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-08-05 02:32:58

 Name : zztiuzz đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-05 02:54:07

 Name : zztiuzz đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-05 02:55:24

 Name : namtx01 đã tách vật phẩm || Vật phẩm tách: 910 || Số lượng vật phẩm ban đầu 9654 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 8654 và 1000|| Thời gian tách : 2022-08-05 03:33:56

 Name : namtx01 đã tách vật phẩm || Vật phẩm tách: 910 || Số lượng vật phẩm ban đầu 8509 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 7509 và 1000|| Thời gian tách : 2022-08-05 03:34:02

 Name : namtx01 đã tách vật phẩm || Vật phẩm tách: 910 || Số lượng vật phẩm ban đầu 7397 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 6397 và 1000|| Thời gian tách : 2022-08-05 03:34:09

 Name : namtx01 đã tách vật phẩm || Vật phẩm tách: 910 || Số lượng vật phẩm ban đầu 6340 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 5340 và 1000|| Thời gian tách : 2022-08-05 03:34:15

 Name : gacute đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-05 03:37:25

 Name : nhinlolzz đã tách vật phẩm || Vật phẩm tách: 868 || Số lượng vật phẩm ban đầu 1107 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 1097 và 10|| Thời gian tách : 2022-08-05 03:39:35

 Name : nhinlolzz đã tách vật phẩm || Vật phẩm tách: 868 || Số lượng vật phẩm ban đầu 1097 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 1087 và 10|| Thời gian tách : 2022-08-05 03:40:22

 Name : gacute đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 26 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 24 và 2|| Thời gian tách : 2022-08-05 03:40:38

 Name : gacute đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 24 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 22 và 2|| Thời gian tách : 2022-08-05 03:40:48

 Name : gacute đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-05 03:40:54

 Name : gacute đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-05 03:41:01

 Name : kaydee đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 18 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 17 và 1|| Thời gian tách : 2022-08-05 03:46:28

 Name : kaydee đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 17 || Số lượng tách: 4 || Số lượng vật phẩm sau khi tách: 13 và 4|| Thời gian tách : 2022-08-05 03:46:31

 Name : kaydee đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 13 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 12 và 1|| Thời gian tách : 2022-08-05 03:46:33

 Name : kaydee đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 11 và 1|| Thời gian tách : 2022-08-05 03:46:35

 Name : kaydee đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 11 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 10 và 1|| Thời gian tách : 2022-08-05 03:46:38

 Name : kaydee đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9 và 1|| Thời gian tách : 2022-08-05 03:46:39

 Name : kaydee đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-08-05 03:46:48

 Name : kaydee đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-08-05 03:46:50

 Name : kaydee đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-05 03:46:53

 Name : kaydee đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 8 và 1|| Thời gian tách : 2022-08-05 03:47:27

 Name : kaydee đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-08-05 03:47:29

 Name : kaydee đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-08-05 03:47:31

