
 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 1 và 2|| Thời gian tách : 2022-08-06 00:03:17

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 120 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 115 và 5|| Thời gian tách : 2022-08-06 00:04:21

 Name : huanhoahoe đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 75 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 74 và 1|| Thời gian tách : 2022-08-06 00:04:31

 Name : huanhoahoe đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 74 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 73 và 1|| Thời gian tách : 2022-08-06 00:04:33

 Name : huanhoahoe đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 73 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 72 và 1|| Thời gian tách : 2022-08-06 00:04:36

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-08-06 00:04:36

 Name : huanhoahoe đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 72 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 71 và 1|| Thời gian tách : 2022-08-06 00:04:39

 Name : huanhoahoe đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 71 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 70 và 1|| Thời gian tách : 2022-08-06 00:04:41

 Name : huanhoahoe đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 70 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 69 và 1|| Thời gian tách : 2022-08-06 00:04:44

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-08-06 00:04:46

 Name : huanhoahoe đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 69 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 68 và 1|| Thời gian tách : 2022-08-06 00:04:46

 Name : huanhoahoe đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 68 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 67 và 1|| Thời gian tách : 2022-08-06 00:04:49

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 1 và 2|| Thời gian tách : 2022-08-06 00:04:58

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 115 || Số lượng tách: 15 || Số lượng vật phẩm sau khi tách: 100 và 15|| Thời gian tách : 2022-08-06 00:06:27

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 7 || Số lượng vật phẩm sau khi tách: 8 và 7|| Thời gian tách : 2022-08-06 00:07:42

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 4 || Số lượng vật phẩm sau khi tách: 4 và 4|| Thời gian tách : 2022-08-06 00:07:48

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 2 và 2|| Thời gian tách : 2022-08-06 00:07:56

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 4 và 3|| Thời gian tách : 2022-08-06 00:08:05

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-06 00:08:11

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 2 và 2|| Thời gian tách : 2022-08-06 00:08:16

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-06 00:08:22

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-06 00:08:26

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-06 00:08:31

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 100 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 80 và 20|| Thời gian tách : 2022-08-06 00:09:27

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 20 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 10 và 10|| Thời gian tách : 2022-08-06 00:09:33

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 5 và 5|| Thời gian tách : 2022-08-06 00:09:39

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 3 và 2|| Thời gian tách : 2022-08-06 00:09:47

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 3 và 2|| Thời gian tách : 2022-08-06 00:09:53

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-06 00:09:58

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-06 00:10:03

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-08-06 00:10:09

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-06 00:10:13

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-08-06 00:10:22

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-06 00:10:26

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 2 và 2|| Thời gian tách : 2022-08-06 00:11:24

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-06 00:11:29

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-06 00:11:37

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-08-06 00:11:40

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-08-06 00:11:43

 Name : yanghomon đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9 và 1|| Thời gian tách : 2022-08-06 00:11:50

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 13 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 12 và 1|| Thời gian tách : 2022-08-06 00:13:01

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 11 và 1|| Thời gian tách : 2022-08-06 00:13:03

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 141 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 140 và 1|| Thời gian tách : 2022-08-06 00:13:16

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 140 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 139 và 1|| Thời gian tách : 2022-08-06 00:13:18

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 139 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 138 và 1|| Thời gian tách : 2022-08-06 00:13:20

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 138 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 137 và 1|| Thời gian tách : 2022-08-06 00:13:24

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 137 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 136 và 1|| Thời gian tách : 2022-08-06 00:13:26

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 136 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 135 và 1|| Thời gian tách : 2022-08-06 00:13:29

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 135 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 134 và 1|| Thời gian tách : 2022-08-06 00:13:31

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 134 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 133 và 1|| Thời gian tách : 2022-08-06 00:13:32

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 133 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 132 và 1|| Thời gian tách : 2022-08-06 00:13:34

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 132 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 131 và 1|| Thời gian tách : 2022-08-06 00:13:36

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 131 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 130 và 1|| Thời gian tách : 2022-08-06 00:13:38

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 130 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 129 và 1|| Thời gian tách : 2022-08-06 00:13:40

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 129 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 128 và 1|| Thời gian tách : 2022-08-06 00:13:42

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 128 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 127 và 1|| Thời gian tách : 2022-08-06 00:13:44

 Name : nguyen đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 127 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 126 và 1|| Thời gian tách : 2022-08-06 00:13:46

