
 Name : 1choc1be đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 13992 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 12992 và 1000|| Thời gian tách : 2022-06-06 03:02:29

 Name : shinbaby đã tách vật phẩm || Vật phẩm tách: 640 || Số lượng vật phẩm ban đầu 89 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 88 và 1|| Thời gian tách : 2022-06-06 04:56:25

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 7798 || Số lượng tách: 298 || Số lượng vật phẩm sau khi tách: 7500 và 298|| Thời gian tách : 2022-06-06 07:46:07

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 153 || Số lượng tách: 150 || Số lượng vật phẩm sau khi tách: 3 và 150|| Thời gian tách : 2022-06-06 08:17:39

 Name : nguthichet đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 437 || Số lượng tách: 400 || Số lượng vật phẩm sau khi tách: 37 và 400|| Thời gian tách : 2022-06-06 09:20:29

 Name : mediastin đã tách vật phẩm || Vật phẩm tách: 761 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-06 10:22:39

 Name : vnsory đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 11 và 1|| Thời gian tách : 2022-06-06 11:33:28

 Name : vnsory đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 11 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 10 và 1|| Thời gian tách : 2022-06-06 11:33:35

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 69 || Số lượng tách: 29 || Số lượng vật phẩm sau khi tách: 40 và 29|| Thời gian tách : 2022-06-06 12:03:22

 Name : bomtiger đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 11 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 8 và 3|| Thời gian tách : 2022-06-06 12:48:50

 Name : bomtiger đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-06 12:58:25

 Name : tuytzoi đã tách vật phẩm || Vật phẩm tách: 638 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-06-06 16:15:32

