
 Name : nicdcfree đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-06 00:25:39

 Name : vodanh9x đã tách vật phẩm || Vật phẩm tách: 385 || Số lượng vật phẩm ban đầu 100 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 99 và 1|| Thời gian tách : 2022-05-06 01:03:10

 Name : vodanh9x đã tách vật phẩm || Vật phẩm tách: 385 || Số lượng vật phẩm ban đầu 99 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 98 và 1|| Thời gian tách : 2022-05-06 01:03:21

 Name : shinobi97 đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 429 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 424 và 5|| Thời gian tách : 2022-05-06 03:43:24

 Name : shinobi97 đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 420 || Số lượng tách: 84 || Số lượng vật phẩm sau khi tách: 336 và 84|| Thời gian tách : 2022-05-06 03:43:31

 Name : tuthanvutru đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 200 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 100 và 100|| Thời gian tách : 2022-05-06 05:25:05

 Name : chapcasv đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 774 || Số lượng tách: 98 || Số lượng vật phẩm sau khi tách: 676 và 98|| Thời gian tách : 2022-05-06 06:22:40

 Name : chapcasv đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 676 || Số lượng tách: 188 || Số lượng vật phẩm sau khi tách: 488 và 188|| Thời gian tách : 2022-05-06 06:37:57

 Name : chapcasv đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 488 || Số lượng tách: 7 || Số lượng vật phẩm sau khi tách: 481 và 7|| Thời gian tách : 2022-05-06 06:38:26

 Name : tuthanvutru đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 410 || Số lượng tách: 150 || Số lượng vật phẩm sau khi tách: 260 và 150|| Thời gian tách : 2022-05-06 11:40:38

 Name : chapcasv đã tách vật phẩm || Vật phẩm tách: 907 || Số lượng vật phẩm ban đầu 1754 || Số lượng tách: 140 || Số lượng vật phẩm sau khi tách: 1614 và 140|| Thời gian tách : 2022-05-06 12:04:30

 Name : kimlong đã tách vật phẩm || Vật phẩm tách: 862 || Số lượng vật phẩm ban đầu 142 || Số lượng tách: 140 || Số lượng vật phẩm sau khi tách: 2 và 140|| Thời gian tách : 2022-05-06 12:05:59

 Name : l7l7l7l7l7 đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 722 || Số lượng tách: 96 || Số lượng vật phẩm sau khi tách: 626 và 96|| Thời gian tách : 2022-05-06 12:44:58

 Name : bochapcaserver đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 1146 || Số lượng tách: 600 || Số lượng vật phẩm sau khi tách: 546 và 600|| Thời gian tách : 2022-05-06 14:07:44

