
 Name : ahihihaha đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 625 || Số lượng tách: 13 || Số lượng vật phẩm sau khi tách: 612 và 13|| Thời gian tách : 2022-08-08 00:00:06

 Name : ahihihaha đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 612 || Số lượng tách: 13 || Số lượng vật phẩm sau khi tách: 599 và 13|| Thời gian tách : 2022-08-08 00:00:13

 Name : ahihihaha đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 599 || Số lượng tách: 13 || Số lượng vật phẩm sau khi tách: 586 và 13|| Thời gian tách : 2022-08-08 00:00:24

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 37 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 36 và 1|| Thời gian tách : 2022-08-08 00:00:26

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 36 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 35 và 1|| Thời gian tách : 2022-08-08 00:00:30

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 35 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 34 và 1|| Thời gian tách : 2022-08-08 00:00:51

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 34 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 33 và 1|| Thời gian tách : 2022-08-08 00:00:53

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 33 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 32 và 1|| Thời gian tách : 2022-08-08 00:00:54

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 32 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 31 và 1|| Thời gian tách : 2022-08-08 00:00:55

 Name : emcute đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 31 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 30 và 1|| Thời gian tách : 2022-08-08 00:00:57

