
 Name : chum88 đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 76 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 71 và 5|| Thời gian tách : 2022-06-08 06:38:09

 Name : 1choc1be đã tách vật phẩm || Vật phẩm tách: 643 || Số lượng vật phẩm ban đầu 19616 || Số lượng tách: 5000 || Số lượng vật phẩm sau khi tách: 14616 và 5000|| Thời gian tách : 2022-06-08 08:17:24

 Name : 1choc1be đã tách vật phẩm || Vật phẩm tách: 643 || Số lượng vật phẩm ban đầu 14841 || Số lượng tách: 5000 || Số lượng vật phẩm sau khi tách: 9841 và 5000|| Thời gian tách : 2022-06-08 08:21:58

 Name : 1choc1be đã tách vật phẩm || Vật phẩm tách: 643 || Số lượng vật phẩm ban đầu 12493 || Số lượng tách: 6000 || Số lượng vật phẩm sau khi tách: 6493 và 6000|| Thời gian tách : 2022-06-08 08:23:50

 Name : 1choc1be đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 1093 || Số lượng tách: 400 || Số lượng vật phẩm sau khi tách: 693 và 400|| Thời gian tách : 2022-06-08 09:04:31

 Name : bomtiger đã tách vật phẩm || Vật phẩm tách: 741 || Số lượng vật phẩm ban đầu 55 || Số lượng tách: 6 || Số lượng vật phẩm sau khi tách: 49 và 6|| Thời gian tách : 2022-06-08 10:12:01

 Name : paodayne đã tách vật phẩm || Vật phẩm tách: 780 || Số lượng vật phẩm ban đầu 2300 || Số lượng tách: 300 || Số lượng vật phẩm sau khi tách: 2000 và 300|| Thời gian tách : 2022-06-08 11:34:23

 Name : paodayne đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 11299 || Số lượng tách: 1299 || Số lượng vật phẩm sau khi tách: 10000 và 1299|| Thời gian tách : 2022-06-08 11:45:59

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 958 || Số lượng vật phẩm ban đầu 48 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 38 và 10|| Thời gian tách : 2022-06-08 12:50:35

 Name : paodayne đã tách vật phẩm || Vật phẩm tách: 948 || Số lượng vật phẩm ban đầu 54 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 53 và 1|| Thời gian tách : 2022-06-08 14:40:58

 Name : mattrang2 đã tách vật phẩm || Vật phẩm tách: 575 || Số lượng vật phẩm ban đầu 1119 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 919 và 200|| Thời gian tách : 2022-06-08 15:58:32

 Name : oidoioi đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 586 || Số lượng tách: 86 || Số lượng vật phẩm sau khi tách: 500 và 86|| Thời gian tách : 2022-06-08 16:24:52

 Name : oidoioi đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 500 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 300 và 200|| Thời gian tách : 2022-06-08 16:29:03

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 14 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 13 và 1|| Thời gian tách : 2022-06-08 17:56:22

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 13 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 12 và 1|| Thời gian tách : 2022-06-08 17:56:24

 Name : huyxinhgai đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 11 và 1|| Thời gian tách : 2022-06-08 17:56:26

