
 Name : ssssaz đã tách vật phẩm || Vật phẩm tách: 38 || Số lượng vật phẩm ban đầu 891 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 841 và 50|| Thời gian tách : 2022-08-09 00:13:39

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 75 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 74 và 1|| Thời gian tách : 2022-08-09 00:17:36

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 74 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 73 và 1|| Thời gian tách : 2022-08-09 00:17:41

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 73 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 72 và 1|| Thời gian tách : 2022-08-09 00:17:45

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 72 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 71 và 1|| Thời gian tách : 2022-08-09 00:17:50

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 71 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 70 và 1|| Thời gian tách : 2022-08-09 00:18:01

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 70 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 69 và 1|| Thời gian tách : 2022-08-09 00:18:06

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 69 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 68 và 1|| Thời gian tách : 2022-08-09 00:18:11

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 68 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 67 và 1|| Thời gian tách : 2022-08-09 00:18:15

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 67 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 66 và 1|| Thời gian tách : 2022-08-09 00:18:19

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 66 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 65 và 1|| Thời gian tách : 2022-08-09 00:18:26

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 65 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 64 và 1|| Thời gian tách : 2022-08-09 00:18:32

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 64 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 63 và 1|| Thời gian tách : 2022-08-09 00:18:37

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 63 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 62 và 1|| Thời gian tách : 2022-08-09 00:18:41

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 62 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 61 và 1|| Thời gian tách : 2022-08-09 00:18:45

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 61 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 60 và 1|| Thời gian tách : 2022-08-09 00:18:49

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 60 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 59 và 1|| Thời gian tách : 2022-08-09 00:18:54

 Name : vegetta đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 47 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 27 và 20|| Thời gian tách : 2022-08-09 00:18:54

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 59 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 58 và 1|| Thời gian tách : 2022-08-09 00:18:59

 Name : vegetta đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 47 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 37 và 10|| Thời gian tách : 2022-08-09 00:19:02

 Name : trumkiem123 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 58 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 57 và 1|| Thời gian tách : 2022-08-09 00:19:03

 Name : vegetta đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 37 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 27 và 10|| Thời gian tách : 2022-08-09 00:19:05

 Name : vegetta đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 27 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 17 và 10|| Thời gian tách : 2022-08-09 00:19:38

