
 Name : huy12345nn đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 204 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 199 và 5|| Thời gian tách : 2022-06-09 01:44:20

 Name : huy12345nn đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 199 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 194 và 5|| Thời gian tách : 2022-06-09 01:44:22

 Name : huy12345nn đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 194 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 189 và 5|| Thời gian tách : 2022-06-09 01:44:24

 Name : huy12345nn đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 189 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 184 và 5|| Thời gian tách : 2022-06-09 01:44:26

 Name : huy12345nn đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 3 và 2|| Thời gian tách : 2022-06-09 01:44:37

 Name : huy12345nn đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 1 và 2|| Thời gian tách : 2022-06-09 01:44:39

 Name : huy12345nn đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 3 và 2|| Thời gian tách : 2022-06-09 01:44:42

 Name : huy12345nn đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 1 và 2|| Thời gian tách : 2022-06-09 01:44:44

 Name : huy12345nn đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 3 và 2|| Thời gian tách : 2022-06-09 01:44:46

 Name : huy12345nn đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 3 và 2|| Thời gian tách : 2022-06-09 01:44:49

 Name : huy12345nn đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 1 và 2|| Thời gian tách : 2022-06-09 01:44:50

 Name : huy12345nn đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 1 và 2|| Thời gian tách : 2022-06-09 01:44:54

 Name : huy12345nn đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-09 01:44:57

 Name : huy12345nn đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-09 01:44:59

 Name : huy12345nn đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-09 01:45:01

 Name : huy12345nn đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-09 01:45:04

 Name : huy12345nn đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-09 01:45:06

 Name : huy12345nn đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-09 01:45:08

 Name : huy12345nn đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-09 01:45:10

 Name : huy12345nn đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-06-09 01:45:12

 Name : hakaishin đã tách vật phẩm || Vật phẩm tách: 596 || Số lượng vật phẩm ban đầu 78 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 73 và 5|| Thời gian tách : 2022-06-09 08:41:22

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 959 || Số lượng vật phẩm ban đầu 630 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 430 và 200|| Thời gian tách : 2022-06-09 10:16:57

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 1054 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 54 và 1000|| Thời gian tách : 2022-06-09 10:28:40

 Name : itadori đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 242 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 241 và 1|| Thời gian tách : 2022-06-09 11:14:25

 Name : itadori đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 241 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 240 và 1|| Thời gian tách : 2022-06-09 11:14:30

 Name : itadori đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 240 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 239 và 1|| Thời gian tách : 2022-06-09 11:14:34

 Name : itadori đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 239 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 238 và 1|| Thời gian tách : 2022-06-09 11:14:38

 Name : itadori đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 238 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 237 và 1|| Thời gian tách : 2022-06-09 11:14:44

 Name : itadori đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 237 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 236 và 1|| Thời gian tách : 2022-06-09 11:14:48

