
 Name : kocanbiet đã tách vật phẩm || Vật phẩm tách: 838 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-04-12 00:14:15

 Name : kietdzno1 đã tách vật phẩm || Vật phẩm tách: 739 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-04-12 01:09:37

 Name : leninn đã tách vật phẩm || Vật phẩm tách: 28 || Số lượng vật phẩm ban đầu 500 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 300 và 200|| Thời gian tách : 2022-04-12 01:23:52

 Name : anhthuxc đã tách vật phẩm || Vật phẩm tách: 907 || Số lượng vật phẩm ban đầu 41 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 40 và 1|| Thời gian tách : 2022-04-12 01:42:29

 Name : anhthuxc đã tách vật phẩm || Vật phẩm tách: 907 || Số lượng vật phẩm ban đầu 40 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 39 và 1|| Thời gian tách : 2022-04-12 01:46:52

 Name : kietdzno1 đã tách vật phẩm || Vật phẩm tách: 907 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-04-12 01:48:08

 Name : snow2002 đã tách vật phẩm || Vật phẩm tách: 907 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-04-12 08:30:59

 Name : sieunhankiem đã tách vật phẩm || Vật phẩm tách: 222 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 2 và 2|| Thời gian tách : 2022-04-12 11:58:55

 Name : sieunhankiem đã tách vật phẩm || Vật phẩm tách: 842 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-04-12 12:03:50

 Name : anhthuxc đã tách vật phẩm || Vật phẩm tách: 838 || Số lượng vật phẩm ban đầu 129 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 128 và 1|| Thời gian tách : 2022-04-12 12:45:41

 Name : kunai01 đã tách vật phẩm || Vật phẩm tách: 868 || Số lượng vật phẩm ban đầu 10837 || Số lượng tách: 5000 || Số lượng vật phẩm sau khi tách: 5837 và 5000|| Thời gian tách : 2022-04-12 13:00:53

 Name : 11111113 đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 100 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 90 và 10|| Thời gian tách : 2022-04-12 17:48:46

