
 Name : tairaxiu đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 30 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 20 và 10|| Thời gian tách : 2022-08-12 00:04:29

 Name : tairaxiu đã tách vật phẩm || Vật phẩm tách: 588 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 1 và 2|| Thời gian tách : 2022-08-12 00:05:04

 Name : tairaxiu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 77 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 76 và 1|| Thời gian tách : 2022-08-12 00:12:33

 Name : tairaxiu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 76 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 75 và 1|| Thời gian tách : 2022-08-12 00:12:35

 Name : tairaxiu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 75 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 74 và 1|| Thời gian tách : 2022-08-12 00:12:37

 Name : tairaxiu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 74 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 73 và 1|| Thời gian tách : 2022-08-12 00:12:48

 Name : tairaxiu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 73 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 72 và 1|| Thời gian tách : 2022-08-12 00:12:50

 Name : tairaxiu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 72 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 71 và 1|| Thời gian tách : 2022-08-12 00:12:52

 Name : tairaxiu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 71 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 70 và 1|| Thời gian tách : 2022-08-12 00:12:53

 Name : tairaxiu đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 70 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 69 và 1|| Thời gian tách : 2022-08-12 00:12:55

