
 Name : bochapcaserver đã tách vật phẩm || Vật phẩm tách: 639 || Số lượng vật phẩm ban đầu 17873 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 17871 và 2|| Thời gian tách : 2022-05-13 08:27:27

 Name : bochapcaserver đã tách vật phẩm || Vật phẩm tách: 907 || Số lượng vật phẩm ban đầu 1116 || Số lượng tách: 16 || Số lượng vật phẩm sau khi tách: 1100 và 16|| Thời gian tách : 2022-05-13 08:38:09

 Name : shenlong đã tách vật phẩm || Vật phẩm tách: 585 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-05-13 09:12:19

 Name : sadboizz đã tách vật phẩm || Vật phẩm tách: 642 || Số lượng vật phẩm ban đầu 9651 || Số lượng tách: 9000 || Số lượng vật phẩm sau khi tách: 651 và 9000|| Thời gian tách : 2022-05-13 09:40:02

 Name : sadboizz đã tách vật phẩm || Vật phẩm tách: 638 || Số lượng vật phẩm ban đầu 9046 || Số lượng tách: 9000 || Số lượng vật phẩm sau khi tách: 46 và 9000|| Thời gian tách : 2022-05-13 09:40:05

 Name : sadboizz đã tách vật phẩm || Vật phẩm tách: 641 || Số lượng vật phẩm ban đầu 9192 || Số lượng tách: 9000 || Số lượng vật phẩm sau khi tách: 192 và 9000|| Thời gian tách : 2022-05-13 09:40:13

 Name : bochapcaserver đã tách vật phẩm || Vật phẩm tách: 842 || Số lượng vật phẩm ban đầu 5179 || Số lượng tách: 5000 || Số lượng vật phẩm sau khi tách: 179 và 5000|| Thời gian tách : 2022-05-13 09:56:26

 Name : 88quetao đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-05-13 10:40:51

 Name : 88quetao đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-05-13 10:40:54

 Name : 88quetao đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-05-13 10:40:57

 Name : 88quetao đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-05-13 10:41:00

 Name : 88quetao đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-05-13 10:41:02

 Name : 88quetao đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-13 10:41:07

 Name : 88quetao đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-13 10:41:12

 Name : shenlong đã tách vật phẩm || Vật phẩm tách: 585 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-05-13 10:44:05

 Name : shenlong đã tách vật phẩm || Vật phẩm tách: 585 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-05-13 10:44:13

 Name : boy99ngheo đã tách vật phẩm || Vật phẩm tách: 643 || Số lượng vật phẩm ban đầu 181 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 161 và 20|| Thời gian tách : 2022-05-13 10:58:05

 Name : boy99ngheo đã tách vật phẩm || Vật phẩm tách: 643 || Số lượng vật phẩm ban đầu 161 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 111 và 50|| Thời gian tách : 2022-05-13 10:58:38

 Name : boy99ngheo đã tách vật phẩm || Vật phẩm tách: 643 || Số lượng vật phẩm ban đầu 127 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 107 và 20|| Thời gian tách : 2022-05-13 11:00:13

 Name : boy99ngheo đã tách vật phẩm || Vật phẩm tách: 643 || Số lượng vật phẩm ban đầu 107 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 57 và 50|| Thời gian tách : 2022-05-13 11:00:31

