
 Name : hashirama đã tách vật phẩm || Vật phẩm tách: 874 || Số lượng vật phẩm ban đầu 6073 || Số lượng tách: 2000 || Số lượng vật phẩm sau khi tách: 4073 và 2000|| Thời gian tách : 2022-05-16 05:53:24

 Name : gameno1 đã tách vật phẩm || Vật phẩm tách: 917 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-05-16 07:55:24

 Name : dbrrvcl1 đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-05-16 08:00:43

 Name : dbrrvcl1 đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-05-16 08:00:49

 Name : dbrrvcl1 đã tách vật phẩm || Vật phẩm tách: 585 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-16 08:24:51

 Name : minato đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-05-16 11:51:43

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 10830 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 10829 và 1|| Thời gian tách : 2022-05-16 14:20:35

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 10829 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 10828 và 1|| Thời gian tách : 2022-05-16 14:20:40

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 10828 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 10827 và 1|| Thời gian tách : 2022-05-16 14:20:46

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 10827 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 10826 và 1|| Thời gian tách : 2022-05-16 14:20:50

 Name : devuong đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 10826 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 10825 và 1|| Thời gian tách : 2022-05-16 14:20:54

