
 Name : haneanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 197 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 196 và 1|| Thời gian tách : 2022-05-20 00:00:38

 Name : haneanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 196 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 195 và 1|| Thời gian tách : 2022-05-20 00:00:40

 Name : haneanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 195 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 194 và 1|| Thời gian tách : 2022-05-20 00:00:44

 Name : haneanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 194 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 193 và 1|| Thời gian tách : 2022-05-20 00:00:45

 Name : haneanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 193 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 192 và 1|| Thời gian tách : 2022-05-20 00:00:47

 Name : haneanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 192 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 191 và 1|| Thời gian tách : 2022-05-20 00:00:49

 Name : haneanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 191 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 190 và 1|| Thời gian tách : 2022-05-20 00:00:51

 Name : haneanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 190 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 189 và 1|| Thời gian tách : 2022-05-20 00:00:53

 Name : haneanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 197 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 196 và 1|| Thời gian tách : 2022-05-20 00:01:00

 Name : haneanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 196 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 195 và 1|| Thời gian tách : 2022-05-20 00:01:01

 Name : haneanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 195 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 194 và 1|| Thời gian tách : 2022-05-20 00:01:03

 Name : haneanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 194 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 193 và 1|| Thời gian tách : 2022-05-20 00:01:05

 Name : haneanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 193 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 192 và 1|| Thời gian tách : 2022-05-20 00:01:07

 Name : haneanh đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 192 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 191 và 1|| Thời gian tách : 2022-05-20 00:01:09

