
 Name : viyeuem đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 112 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 109 và 3|| Thời gian tách : 2022-05-23 01:30:47

 Name : viyeuem đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 109 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 106 và 3|| Thời gian tách : 2022-05-23 01:30:53

 Name : viyeuem đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 106 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 103 và 3|| Thời gian tách : 2022-05-23 01:30:56

 Name : viyeuem đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 103 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 100 và 3|| Thời gian tách : 2022-05-23 01:31:03

 Name : viyeuem đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 100 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 95 và 5|| Thời gian tách : 2022-05-23 01:31:06

 Name : viyeuem đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 95 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 90 và 5|| Thời gian tách : 2022-05-23 01:31:08

 Name : viyeuem đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 112 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 111 và 1|| Thời gian tách : 2022-05-23 01:31:30

 Name : viyeuem đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 111 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 110 và 1|| Thời gian tách : 2022-05-23 01:31:32

 Name : viyeuem đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 110 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 109 và 1|| Thời gian tách : 2022-05-23 01:31:34

 Name : viyeuem đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 109 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 108 và 1|| Thời gian tách : 2022-05-23 01:31:35

 Name : viyeuem đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 108 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 107 và 1|| Thời gian tách : 2022-05-23 01:31:38

 Name : viyeuem đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 107 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 106 và 1|| Thời gian tách : 2022-05-23 01:31:40

 Name : viyeuem đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 106 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 105 và 1|| Thời gian tách : 2022-05-23 01:31:42

 Name : viyeuem đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 105 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 104 và 1|| Thời gian tách : 2022-05-23 01:31:44

 Name : viyeuem đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 104 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 103 và 1|| Thời gian tách : 2022-05-23 01:31:46

 Name : viyeuem đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 103 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 102 và 1|| Thời gian tách : 2022-05-23 01:31:48

 Name : viyeuem đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 102 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 101 và 1|| Thời gian tách : 2022-05-23 01:31:50

 Name : viyeuem đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 101 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 100 và 1|| Thời gian tách : 2022-05-23 01:31:52

 Name : chum88 đã tách vật phẩm || Vật phẩm tách: 947 || Số lượng vật phẩm ban đầu 48 || Số lượng tách: 18 || Số lượng vật phẩm sau khi tách: 30 và 18|| Thời gian tách : 2022-05-23 03:24:38

 Name : chum88 đã tách vật phẩm || Vật phẩm tách: 38 || Số lượng vật phẩm ban đầu 10629 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 10529 và 100|| Thời gian tách : 2022-05-23 03:27:05

 Name : baolam1 đã tách vật phẩm || Vật phẩm tách: 639 || Số lượng vật phẩm ban đầu 6324 || Số lượng tách: 6000 || Số lượng vật phẩm sau khi tách: 324 và 6000|| Thời gian tách : 2022-05-23 08:59:41

 Name : accmin đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 729 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 629 và 100|| Thời gian tách : 2022-05-23 13:33:33

 Name : accmin đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 629 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 529 và 100|| Thời gian tách : 2022-05-23 13:33:36

 Name : accmin đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 529 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 429 và 100|| Thời gian tách : 2022-05-23 13:33:40

 Name : accmin đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 429 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 329 và 100|| Thời gian tách : 2022-05-23 13:33:43

 Name : accmin đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 329 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 229 và 100|| Thời gian tách : 2022-05-23 13:33:45

 Name : accmin đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 229 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 129 và 100|| Thời gian tách : 2022-05-23 13:33:49

 Name : accmin đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 100 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 99 và 1|| Thời gian tách : 2022-05-23 13:34:19

