
 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 1 và 2|| Thời gian tách : 2022-05-25 00:14:54

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 588 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-25 00:34:01

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-25 00:34:48

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-05-25 00:34:58

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-05-25 00:35:04

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-25 00:35:07

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-25 00:35:16

 Name : andanh đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 199 || Số lượng tách: 19 || Số lượng vật phẩm sau khi tách: 180 và 19|| Thời gian tách : 2022-05-25 00:39:02

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 39 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 29 và 10|| Thời gian tách : 2022-05-25 00:52:47

 Name : chum88 đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 6309 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 6304 và 5|| Thời gian tách : 2022-05-25 05:21:18

 Name : cuteo94 đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 80 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 75 và 5|| Thời gian tách : 2022-05-25 05:25:24

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 17 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 16 và 1|| Thời gian tách : 2022-05-25 05:51:26

 Name : thegioiao đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 225 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 205 và 20|| Thời gian tách : 2022-05-25 05:55:31

 Name : thegioiao đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 165 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 145 và 20|| Thời gian tách : 2022-05-25 05:55:55

 Name : thegioiao đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 20 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 19 và 1|| Thời gian tách : 2022-05-25 05:55:58

 Name : thegioiao đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 19 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 18 và 1|| Thời gian tách : 2022-05-25 05:56:03

 Name : thegioiao đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 18 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 17 và 1|| Thời gian tách : 2022-05-25 05:56:05

 Name : thegioiao đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 17 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 16 và 1|| Thời gian tách : 2022-05-25 05:56:07

 Name : thegioiao đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 16 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 15 và 1|| Thời gian tách : 2022-05-25 05:56:09

 Name : thegioiao đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 15 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 14 và 1|| Thời gian tách : 2022-05-25 05:56:12

 Name : thegioiao đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 14 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 13 và 1|| Thời gian tách : 2022-05-25 05:56:24

 Name : thegioiao đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 13 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 12 và 1|| Thời gian tách : 2022-05-25 05:56:26

 Name : thegioiao đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 11 và 1|| Thời gian tách : 2022-05-25 05:56:28

 Name : thegioiao đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 11 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 10 và 1|| Thời gian tách : 2022-05-25 05:56:30

 Name : thegioiao đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9 và 1|| Thời gian tách : 2022-05-25 05:56:38

 Name : thegioiao đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 9 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 8 và 1|| Thời gian tách : 2022-05-25 05:56:40

 Name : thegioiao đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-05-25 05:56:44

 Name : thegioiao đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-05-25 05:56:46

 Name : thegioiao đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-05-25 05:56:50

 Name : thegioiao đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-05-25 05:56:52

 Name : thegioiao đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-05-25 05:56:54

 Name : thegioiao đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-25 05:56:57

 Name : thegioiao đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-25 05:57:03

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 6206 || Số lượng tách: 1500 || Số lượng vật phẩm sau khi tách: 4706 và 1500|| Thời gian tách : 2022-05-25 07:28:35

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 200 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 100 và 100|| Thời gian tách : 2022-05-25 07:41:48

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 388 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 387 và 1|| Thời gian tách : 2022-05-25 08:41:50

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 387 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 386 và 1|| Thời gian tách : 2022-05-25 08:42:00

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 386 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 383 và 3|| Thời gian tách : 2022-05-25 08:42:08

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-25 08:43:01

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-25 08:43:09

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5439 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 5339 và 100|| Thời gian tách : 2022-05-25 09:00:00

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 100 || Số lượng tách: 88 || Số lượng vật phẩm sau khi tách: 12 và 88|| Thời gian tách : 2022-05-25 09:00:22

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5439 || Số lượng tách: 888 || Số lượng vật phẩm sau khi tách: 4551 và 888|| Thời gian tách : 2022-05-25 09:02:41

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 4551 || Số lượng tách: 1111 || Số lượng vật phẩm sau khi tách: 3440 và 1111|| Thời gian tách : 2022-05-25 09:04:02

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 1111 || Số lượng tách: 44 || Số lượng vật phẩm sau khi tách: 1067 và 44|| Thời gian tách : 2022-05-25 09:06:30

 Name : aduduu đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 2035 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 1985 và 50|| Thời gian tách : 2022-05-25 10:08:44

 Name : aduduu đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 169 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 159 và 10|| Thời gian tách : 2022-05-25 10:10:59

 Name : linhbuontee đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-25 11:07:07

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 5187 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 4187 và 1000|| Thời gian tách : 2022-05-25 11:34:50

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 27 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 22 và 5|| Thời gian tách : 2022-05-25 11:37:36

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 27 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 22 và 5|| Thời gian tách : 2022-05-25 11:40:17

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 4187 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 4137 và 50|| Thời gian tách : 2022-05-25 13:01:31

 Name : cuteo94 đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 375 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 175 và 200|| Thời gian tách : 2022-05-25 13:22:54

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-25 15:28:53

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-25 15:29:26

 Name : bangocpk đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 203 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 202 và 1|| Thời gian tách : 2022-05-25 15:39:48

 Name : bangocpk đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 202 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 201 và 1|| Thời gian tách : 2022-05-25 15:39:51

 Name : vuabip đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 48 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 47 và 1|| Thời gian tách : 2022-05-25 15:41:34

 Name : vuabip đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 47 || Số lượng tách: 7 || Số lượng vật phẩm sau khi tách: 40 và 7|| Thời gian tách : 2022-05-25 15:41:45

 Name : vuabip đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-05-25 15:41:51

 Name : vuabip đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-05-25 15:41:56

 Name : vuabip đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-05-25 15:42:01

