
 Name : vjpnsoae đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 2026 || Số lượng tách: 300 || Số lượng vật phẩm sau khi tách: 1726 và 300|| Thời gian tách : 2022-03-25 00:00:52

 Name : vjpnsoae đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 1914 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 1414 và 500|| Thời gian tách : 2022-03-25 00:01:11

 Name : vjpnsoae đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 1720 || Số lượng tách: 300 || Số lượng vật phẩm sau khi tách: 1420 và 300|| Thời gian tách : 2022-03-25 00:01:38

 Name : blackgoku2 đã tách vật phẩm || Vật phẩm tách: 869 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-03-25 00:30:25

 Name : blackgoku2 đã tách vật phẩm || Vật phẩm tách: 869 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-03-25 00:31:04

 Name : baongoc đã tách vật phẩm || Vật phẩm tách: 839 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9 và 1|| Thời gian tách : 2022-03-25 01:33:27

 Name : baongoc đã tách vật phẩm || Vật phẩm tách: 657 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-03-25 01:33:38

 Name : baongoc đã tách vật phẩm || Vật phẩm tách: 658 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-03-25 01:33:45

 Name : baongoc đã tách vật phẩm || Vật phẩm tách: 682 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-03-25 01:33:52

 Name : baongoc đã tách vật phẩm || Vật phẩm tách: 659 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-03-25 01:33:58

 Name : baongoc đã tách vật phẩm || Vật phẩm tách: 656 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-03-25 01:34:07

 Name : baongoc đã tách vật phẩm || Vật phẩm tách: 839 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9 và 1|| Thời gian tách : 2022-03-25 01:46:01

 Name : baongoc đã tách vật phẩm || Vật phẩm tách: 682 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-03-25 01:46:14

 Name : baongoc đã tách vật phẩm || Vật phẩm tách: 659 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-03-25 01:46:22

 Name : baongoc đã tách vật phẩm || Vật phẩm tách: 657 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-03-25 01:46:28

 Name : baongoc đã tách vật phẩm || Vật phẩm tách: 658 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-03-25 01:46:33

 Name : baongoc đã tách vật phẩm || Vật phẩm tách: 656 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-03-25 01:46:40

 Name : mattrang đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 13873 || Số lượng tách: 5000 || Số lượng vật phẩm sau khi tách: 8873 và 5000|| Thời gian tách : 2022-03-25 08:43:36

 Name : lolthieu đã tách vật phẩm || Vật phẩm tách: 658 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-03-25 09:22:05

 Name : lolthieu đã tách vật phẩm || Vật phẩm tách: 682 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-03-25 09:22:12

 Name : tuthan đã tách vật phẩm || Vật phẩm tách: 682 || Số lượng vật phẩm ban đầu 36 || Số lượng tách: 16 || Số lượng vật phẩm sau khi tách: 20 và 16|| Thời gian tách : 2022-03-25 09:24:28

 Name : tuthan đã tách vật phẩm || Vật phẩm tách: 657 || Số lượng vật phẩm ban đầu 34 || Số lượng tách: 16 || Số lượng vật phẩm sau khi tách: 18 và 16|| Thời gian tách : 2022-03-25 09:24:37

 Name : tuthan đã tách vật phẩm || Vật phẩm tách: 659 || Số lượng vật phẩm ban đầu 34 || Số lượng tách: 16 || Số lượng vật phẩm sau khi tách: 18 và 16|| Thời gian tách : 2022-03-25 09:25:20

 Name : tuthan đã tách vật phẩm || Vật phẩm tách: 659 || Số lượng vật phẩm ban đầu 34 || Số lượng tách: 16 || Số lượng vật phẩm sau khi tách: 18 và 16|| Thời gian tách : 2022-03-25 09:25:56

 Name : lolthieu đã tách vật phẩm || Vật phẩm tách: 657 || Số lượng vật phẩm ban đầu 18 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 16 và 2|| Thời gian tách : 2022-03-25 09:27:37

 Name : chutiemvang đã tách vật phẩm || Vật phẩm tách: 907 || Số lượng vật phẩm ban đầu 23 || Số lượng tách: 3 || Số lượng vật phẩm sau khi tách: 20 và 3|| Thời gian tách : 2022-03-25 09:57:52

 Name : adjdaphat đã tách vật phẩm || Vật phẩm tách: 840 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-03-25 10:53:10

 Name : anh38k1 đã tách vật phẩm || Vật phẩm tách: 437 || Số lượng vật phẩm ban đầu 783 || Số lượng tách: 250 || Số lượng vật phẩm sau khi tách: 533 và 250|| Thời gian tách : 2022-03-25 10:54:06

 Name : anh38k1 đã tách vật phẩm || Vật phẩm tách: 437 || Số lượng vật phẩm ban đầu 533 || Số lượng tách: 250 || Số lượng vật phẩm sau khi tách: 283 và 250|| Thời gian tách : 2022-03-25 10:54:09

 Name : anh38k1 đã tách vật phẩm || Vật phẩm tách: 437 || Số lượng vật phẩm ban đầu 283 || Số lượng tách: 250 || Số lượng vật phẩm sau khi tách: 33 và 250|| Thời gian tách : 2022-03-25 10:54:12

 Name : anh38k1 đã tách vật phẩm || Vật phẩm tách: 436 || Số lượng vật phẩm ban đầu 827 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 327 và 500|| Thời gian tách : 2022-03-25 10:54:18

 Name : dolongdao đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 2599 || Số lượng tách: 99 || Số lượng vật phẩm sau khi tách: 2500 và 99|| Thời gian tách : 2022-03-25 11:18:54

 Name : dolongdao đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 2500 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 2300 và 200|| Thời gian tách : 2022-03-25 11:19:35

 Name : dolongdao đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 2500 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 2300 và 200|| Thời gian tách : 2022-03-25 11:19:41

