
 Name : aduduu đã tách vật phẩm || Vật phẩm tách: 575 || Số lượng vật phẩm ban đầu 1939 || Số lượng tách: 600 || Số lượng vật phẩm sau khi tách: 1339 và 600|| Thời gian tách : 2022-05-27 00:03:27

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 381 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 371 và 10|| Thời gian tách : 2022-05-27 00:41:16

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 371 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 361 và 10|| Thời gian tách : 2022-05-27 00:41:24

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 361 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 351 và 10|| Thời gian tách : 2022-05-27 00:41:30

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 351 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 341 và 10|| Thời gian tách : 2022-05-27 00:41:36

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 341 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 331 và 10|| Thời gian tách : 2022-05-27 00:41:42

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 331 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 321 và 10|| Thời gian tách : 2022-05-27 00:42:23

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 321 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 311 và 10|| Thời gian tách : 2022-05-27 00:42:31

 Name : oppogold đã tách vật phẩm || Vật phẩm tách: 455 || Số lượng vật phẩm ban đầu 311 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 301 và 10|| Thời gian tách : 2022-05-27 00:42:39

 Name : chum88 đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 1650 || Số lượng tách: 100 || Số lượng vật phẩm sau khi tách: 1550 và 100|| Thời gian tách : 2022-05-27 01:06:42

 Name : chum88 đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 1550 || Số lượng tách: 90 || Số lượng vật phẩm sau khi tách: 1460 và 90|| Thời gian tách : 2022-05-27 01:23:57

 Name : baolam1 đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 471 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 421 và 50|| Thời gian tách : 2022-05-27 05:29:25

 Name : baolam1 đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 471 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 466 và 5|| Thời gian tách : 2022-05-27 05:38:14

 Name : baolam1 đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 466 || Số lượng tách: 15 || Số lượng vật phẩm sau khi tách: 451 và 15|| Thời gian tách : 2022-05-27 05:55:24

 Name : baolam1 đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 466 || Số lượng tách: 15 || Số lượng vật phẩm sau khi tách: 451 và 15|| Thời gian tách : 2022-05-27 05:59:31

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 302 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 292 và 10|| Thời gian tách : 2022-05-27 07:15:52

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 291 || Số lượng tách: 15 || Số lượng vật phẩm sau khi tách: 276 và 15|| Thời gian tách : 2022-05-27 07:19:03

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 276 || Số lượng tách: 15 || Số lượng vật phẩm sau khi tách: 261 và 15|| Thời gian tách : 2022-05-27 07:19:05

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 261 || Số lượng tách: 15 || Số lượng vật phẩm sau khi tách: 246 và 15|| Thời gian tách : 2022-05-27 07:19:07

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 246 || Số lượng tách: 15 || Số lượng vật phẩm sau khi tách: 231 và 15|| Thời gian tách : 2022-05-27 07:19:10

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 231 || Số lượng tách: 15 || Số lượng vật phẩm sau khi tách: 216 và 15|| Thời gian tách : 2022-05-27 07:19:12

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 216 || Số lượng tách: 15 || Số lượng vật phẩm sau khi tách: 201 và 15|| Thời gian tách : 2022-05-27 07:19:19

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 201 || Số lượng tách: 15 || Số lượng vật phẩm sau khi tách: 186 và 15|| Thời gian tách : 2022-05-27 07:19:21

 Name : queen69 đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 186 || Số lượng tách: 7 || Số lượng vật phẩm sau khi tách: 179 và 7|| Thời gian tách : 2022-05-27 07:21:40

