
 Name : xxgaixinhxx đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 5657 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 5457 và 200|| Thời gian tách : 2022-03-27 00:15:07

 Name : kingki3m đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 2980 || Số lượng tách: 2000 || Số lượng vật phẩm sau khi tách: 980 và 2000|| Thời gian tách : 2022-03-27 01:20:17

 Name : kirito đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 5179 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 4679 và 500|| Thời gian tách : 2022-03-27 02:20:11

 Name : kirito đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 5153 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 4653 và 500|| Thời gian tách : 2022-03-27 02:20:19

 Name : kirito đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 4992 || Số lượng tách: 500 || Số lượng vật phẩm sau khi tách: 4492 và 500|| Thời gian tách : 2022-03-27 02:21:10

 Name : kirito đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 4505 || Số lượng tách: 1500 || Số lượng vật phẩm sau khi tách: 3005 và 1500|| Thời gian tách : 2022-03-27 02:22:12

 Name : makiem đã tách vật phẩm || Vật phẩm tách: 638 || Số lượng vật phẩm ban đầu 953 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 952 và 1|| Thời gian tách : 2022-03-27 06:05:10

 Name : makiem đã tách vật phẩm || Vật phẩm tách: 639 || Số lượng vật phẩm ban đầu 940 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 939 và 1|| Thời gian tách : 2022-03-27 06:05:18

 Name : makiem đã tách vật phẩm || Vật phẩm tách: 641 || Số lượng vật phẩm ban đầu 946 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 945 và 1|| Thời gian tách : 2022-03-27 06:05:27

 Name : makiem đã tách vật phẩm || Vật phẩm tách: 575 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-03-27 06:05:39

 Name : makiem đã tách vật phẩm || Vật phẩm tách: 642 || Số lượng vật phẩm ban đầu 1038 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1037 và 1|| Thời gian tách : 2022-03-27 06:06:01

 Name : choichozui đã tách vật phẩm || Vật phẩm tách: 641 || Số lượng vật phẩm ban đầu 8700 || Số lượng tách: 8000 || Số lượng vật phẩm sau khi tách: 700 và 8000|| Thời gian tách : 2022-03-27 06:35:04

 Name : choichozui đã tách vật phẩm || Vật phẩm tách: 638 || Số lượng vật phẩm ban đầu 11582 || Số lượng tách: 8000 || Số lượng vật phẩm sau khi tách: 3582 và 8000|| Thời gian tách : 2022-03-27 06:35:10

 Name : choichozui đã tách vật phẩm || Vật phẩm tách: 639 || Số lượng vật phẩm ban đầu 8846 || Số lượng tách: 8000 || Số lượng vật phẩm sau khi tách: 846 và 8000|| Thời gian tách : 2022-03-27 06:35:16

