
 Name : hitlonthom đã tách vật phẩm || Vật phẩm tách: 538 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-03-28 00:46:30

 Name : ailahanhview đã tách vật phẩm || Vật phẩm tách: 869 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-03-28 01:20:40

 Name : cavoiii đã tách vật phẩm || Vật phẩm tách: 839 || Số lượng vật phẩm ban đầu 62 || Số lượng tách: 2 || Số lượng vật phẩm sau khi tách: 60 và 2|| Thời gian tách : 2022-03-28 05:42:05

 Name : lykiboll đã tách vật phẩm || Vật phẩm tách: 862 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-03-28 08:12:51

 Name : chutiemvang đã tách vật phẩm || Vật phẩm tách: 644 || Số lượng vật phẩm ban đầu 10000 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 9000 và 1000|| Thời gian tách : 2022-03-28 09:13:16

 Name : chutiemvang đã tách vật phẩm || Vật phẩm tách: 644 || Số lượng vật phẩm ban đầu 9957 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 8957 và 1000|| Thời gian tách : 2022-03-28 09:14:28

 Name : ismata đã tách vật phẩm || Vật phẩm tách: 907 || Số lượng vật phẩm ban đầu 43 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 33 và 10|| Thời gian tách : 2022-03-28 09:34:52

 Name : chutiemvang đã tách vật phẩm || Vật phẩm tách: 644 || Số lượng vật phẩm ban đầu 6139 || Số lượng tách: 3000 || Số lượng vật phẩm sau khi tách: 3139 và 3000|| Thời gian tách : 2022-03-28 09:40:40

 Name : anh38k1 đã tách vật phẩm || Vật phẩm tách: 578 || Số lượng vật phẩm ban đầu 2780 || Số lượng tách: 600 || Số lượng vật phẩm sau khi tách: 2180 và 600|| Thời gian tách : 2022-03-28 09:47:52

 Name : anh38k1 đã tách vật phẩm || Vật phẩm tách: 578 || Số lượng vật phẩm ban đầu 2780 || Số lượng tách: 600 || Số lượng vật phẩm sau khi tách: 2180 và 600|| Thời gian tách : 2022-03-28 09:48:04

 Name : anh38k1 đã tách vật phẩm || Vật phẩm tách: 578 || Số lượng vật phẩm ban đầu 2780 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 2580 và 200|| Thời gian tách : 2022-03-28 09:48:59

 Name : anh38k1 đã tách vật phẩm || Vật phẩm tách: 578 || Số lượng vật phẩm ban đầu 2780 || Số lượng tách: 200 || Số lượng vật phẩm sau khi tách: 2580 và 200|| Thời gian tách : 2022-03-28 09:53:01

 Name : anh38k1 đã tách vật phẩm || Vật phẩm tách: 578 || Số lượng vật phẩm ban đầu 2580 || Số lượng tách: 1000 || Số lượng vật phẩm sau khi tách: 1580 và 1000|| Thời gian tách : 2022-03-28 11:07:18

