
 Name : laonhi đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 19923 || Số lượng tách: 25 || Số lượng vật phẩm sau khi tách: 19898 và 25|| Thời gian tách : 2022-03-29 00:29:25

 Name : laonhi đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 19898 || Số lượng tách: 50 || Số lượng vật phẩm sau khi tách: 19848 và 50|| Thời gian tách : 2022-03-29 00:30:01

 Name : laonhi đã tách vật phẩm || Vật phẩm tách: 647 || Số lượng vật phẩm ban đầu 19848 || Số lượng tách: 48 || Số lượng vật phẩm sau khi tách: 19800 và 48|| Thời gian tách : 2022-03-29 00:30:38

 Name : zquan12 đã tách vật phẩm || Vật phẩm tách: 395 || Số lượng vật phẩm ban đầu 100 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 99 và 1|| Thời gian tách : 2022-03-29 00:47:57

 Name : qdatnee đã tách vật phẩm || Vật phẩm tách: 395 || Số lượng vật phẩm ban đầu 999 || Số lượng tách: 222 || Số lượng vật phẩm sau khi tách: 777 và 222|| Thời gian tách : 2022-03-29 02:34:17

 Name : mathan đã tách vật phẩm || Vật phẩm tách: 427 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-03-29 05:27:41

 Name : mathan đã tách vật phẩm || Vật phẩm tách: 427 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-03-29 05:27:46

 Name : mathan đã tách vật phẩm || Vật phẩm tách: 427 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-03-29 05:51:21

 Name : hienbea đã tách vật phẩm || Vật phẩm tách: 907 || Số lượng vật phẩm ban đầu 11 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 10 và 1|| Thời gian tách : 2022-03-29 07:22:11

 Name : vjpnsoae đã tách vật phẩm || Vật phẩm tách: 276 || Số lượng vật phẩm ban đầu 238 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 218 và 20|| Thời gian tách : 2022-03-29 07:34:12

 Name : adbulon đã tách vật phẩm || Vật phẩm tách: 644 || Số lượng vật phẩm ban đầu 6229 || Số lượng tách: 299 || Số lượng vật phẩm sau khi tách: 5930 và 299|| Thời gian tách : 2022-03-29 08:21:24

