
 Name : bochapcaserver đã tách vật phẩm || Vật phẩm tách: 742 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 11 và 1|| Thời gian tách : 2022-04-30 00:32:10

 Name : phuongdzaisv3 đã tách vật phẩm || Vật phẩm tách: 840 || Số lượng vật phẩm ban đầu 16 || Số lượng tách: 15 || Số lượng vật phẩm sau khi tách: 1 và 15|| Thời gian tách : 2022-04-30 01:42:40

 Name : onenote đã tách vật phẩm || Vật phẩm tách: 873 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-04-30 04:51:14

 Name : tuthanvutru đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 18 || Số lượng tách: 5 || Số lượng vật phẩm sau khi tách: 13 và 5|| Thời gian tách : 2022-04-30 05:46:01

 Name : napgan10ty đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 18 || Số lượng tách: 8 || Số lượng vật phẩm sau khi tách: 10 và 8|| Thời gian tách : 2022-04-30 10:25:56

 Name : ltsuki đã tách vật phẩm || Vật phẩm tách: 907 || Số lượng vật phẩm ban đầu 19567 || Số lượng tách: 667 || Số lượng vật phẩm sau khi tách: 18900 và 667|| Thời gian tách : 2022-04-30 10:32:59

 Name : ltsuki đã tách vật phẩm || Vật phẩm tách: 959 || Số lượng vật phẩm ban đầu 19630 || Số lượng tách: 230 || Số lượng vật phẩm sau khi tách: 19400 và 230|| Thời gian tách : 2022-04-30 10:33:05

 Name : napgan10ty đã tách vật phẩm || Vật phẩm tách: 907 || Số lượng vật phẩm ban đầu 688 || Số lượng tách: 28 || Số lượng vật phẩm sau khi tách: 660 và 28|| Thời gian tách : 2022-04-30 10:41:30

 Name : napgan10ty đã tách vật phẩm || Vật phẩm tách: 967 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9 và 1|| Thời gian tách : 2022-04-30 10:55:43

