
 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 14 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 13 và 1|| Thời gian tách : 2022-05-30 00:54:12

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 13 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 12 và 1|| Thời gian tách : 2022-05-30 00:54:14

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 12 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 11 và 1|| Thời gian tách : 2022-05-30 00:54:19

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 11 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 10 và 1|| Thời gian tách : 2022-05-30 00:57:16

 Name : wmwmwmwmwmmwmwm đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 10 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 9 và 1|| Thời gian tách : 2022-05-30 00:57:18

 Name : tao18t đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 8 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 7 và 1|| Thời gian tách : 2022-05-30 04:19:46

 Name : tao18t đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 7 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 6 và 1|| Thời gian tách : 2022-05-30 04:19:49

 Name : tao18t đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 6 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 5 và 1|| Thời gian tách : 2022-05-30 04:19:52

 Name : tao18t đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-05-30 04:19:56

 Name : tao18t đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-05-30 04:19:59

 Name : tao18t đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 3 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 2 và 1|| Thời gian tách : 2022-05-30 04:20:02

 Name : tao18t đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-30 04:20:05

 Name : mattrang2 đã tách vật phẩm || Vật phẩm tách: 427 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-30 05:42:06

 Name : hahahah đã tách vật phẩm || Vật phẩm tách: 457 || Số lượng vật phẩm ban đầu 32 || Số lượng tách: 10 || Số lượng vật phẩm sau khi tách: 22 và 10|| Thời gian tách : 2022-05-30 06:31:06

 Name : athena đã tách vật phẩm || Vật phẩm tách: 996 || Số lượng vật phẩm ban đầu 268 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 267 và 1|| Thời gian tách : 2022-05-30 08:53:58

 Name : athena đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-30 09:10:01

 Name : 1choc1be đã tách vật phẩm || Vật phẩm tách: 1003 || Số lượng vật phẩm ban đầu 419 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 418 và 1|| Thời gian tách : 2022-05-30 10:44:22

 Name : doanchibinh đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 581 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 580 và 1|| Thời gian tách : 2022-05-30 11:24:36

 Name : doanchibinh đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 580 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 579 và 1|| Thời gian tách : 2022-05-30 11:24:41

 Name : doanchibinh đã tách vật phẩm || Vật phẩm tách: 456 || Số lượng vật phẩm ban đầu 579 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 578 và 1|| Thời gian tách : 2022-05-30 11:24:53

 Name : cung7x đã tách vật phẩm || Vật phẩm tách: 949 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-05-30 12:17:57

 Name : kiem7x đã tách vật phẩm || Vật phẩm tách: 587 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-05-30 12:21:28

 Name : yamato đã tách vật phẩm || Vật phẩm tách: 576 || Số lượng vật phẩm ban đầu 431 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 411 và 20|| Thời gian tách : 2022-05-30 13:33:52

 Name : yamato đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 131 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 111 và 20|| Thời gian tách : 2022-05-30 13:34:43

 Name : yamato đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 111 || Số lượng tách: 11 || Số lượng vật phẩm sau khi tách: 100 và 11|| Thời gian tách : 2022-05-30 13:36:09

 Name : yamato đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 100 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 80 và 20|| Thời gian tách : 2022-05-30 13:37:06

 Name : mattrang2 đã tách vật phẩm || Vật phẩm tách: 427 || Số lượng vật phẩm ban đầu 2 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 1 và 1|| Thời gian tách : 2022-05-30 13:46:08

 Name : co1khong2 đã tách vật phẩm || Vật phẩm tách: 743 || Số lượng vật phẩm ban đầu 200 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 199 và 1|| Thời gian tách : 2022-05-30 14:02:30

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 993 || Số lượng vật phẩm ban đầu 2309 || Số lượng tách: 2000 || Số lượng vật phẩm sau khi tách: 309 và 2000|| Thời gian tách : 2022-05-30 14:46:27

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 121 || Số lượng tách: 11 || Số lượng vật phẩm sau khi tách: 110 và 11|| Thời gian tách : 2022-05-30 15:28:43

 Name : phuc1tuoi đã tách vật phẩm || Vật phẩm tách: 454 || Số lượng vật phẩm ban đầu 110 || Số lượng tách: 20 || Số lượng vật phẩm sau khi tách: 90 và 20|| Thời gian tách : 2022-05-30 15:29:32

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 5 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 4 và 1|| Thời gian tách : 2022-05-30 15:31:26

 Name : satoru đã tách vật phẩm || Vật phẩm tách: 584 || Số lượng vật phẩm ban đầu 4 || Số lượng tách: 1 || Số lượng vật phẩm sau khi tách: 3 và 1|| Thời gian tách : 2022-05-30 15:31:31

